Step Temp v_strain v_sigmaxx v_sigmayy PotEng KinEng Lx Ly Volume
     100     327.3286        5e-05    0.1214996  -0.18863815   -105.69418    2.3270798    8.4364722    8.4011617      584.374
     200    301.55267       0.0001 -0.037571816  -0.13034755   -105.48936    2.1438308    8.3797879    8.4015818    580.47663
     300    232.54151      0.00015  -0.18638016 -0.099271352   -105.23949    1.6532092    8.4259641    8.4020018    583.70449
     400    334.81222       0.0002   0.39726726 -0.078774293   -105.86226    2.3802832     8.386359    8.4024219    580.98991
     500    311.31484      0.00025  -0.60736823   -0.2906689   -105.65802    2.2132331    8.4160962    8.4028419     583.0792
     600    302.48437       0.0003    0.5918462   0.35238255   -105.78907    2.1504545    8.4142499     8.403262    582.98042
     700    258.21227      0.00035  -0.33456085   0.43913278   -105.66968    1.8357105    8.4214076    8.4036821    583.50551
     800    284.86256       0.0004  -0.12094786   0.92724327   -105.77254    2.0251756    8.4502849    8.4041021    585.53564
     900    276.42917      0.00045   0.72070106   0.26942076   -105.27709    1.9652201    8.4137794    8.4045222    583.03525
    1000    322.61848       0.0005    -1.019346  -0.16836741   -105.29256    2.2935942    8.3703666    8.4049422    580.05593
    1100    317.26066      0.00055   0.69590585   0.39814321   -105.38847    2.2555037     8.473839    8.4053623    587.25579
    1200    315.49896       0.0006  0.046622355   0.28739846   -105.90455    2.2429793    8.3590775    8.4057824    579.33151
    1300    262.75155      0.00065  -0.85241586 -0.027491112   -106.06879    1.8679817    8.4238105    8.4062024    583.84705
    1400    242.20782       0.0007    1.4012894   0.92043135   -105.72476      1.72193    8.4473672    8.4066225      585.509
    1500    319.35353      0.00075   -1.0219785   0.20644477   -105.75724    2.2703826    8.3225254    8.4070425    576.88472
    1600    372.44228       0.0008   -0.4273394  -0.34675753   -105.83382    2.6478069    8.4952141    8.4074626    588.88424
    1700    282.72039      0.00085     1.898326    0.3585017   -105.32454    2.0099464    8.4184332    8.4078826    583.59098
    1800    286.60075       0.0009   -2.0160687  -0.39428339   -105.57363     2.037533    8.3135923    8.4083027    576.35189
    1900     232.6118      0.00095   0.63447688   0.39342183   -105.64019    1.6537089    8.5078239    8.4087228    589.84674
    2000    279.72539        0.001    1.5820413   0.87760949    -105.9833     1.988654    8.3376179    8.4091428    578.07525
    2100    259.95441      0.00105   -3.2528762  -0.47891724   -105.33838    1.8480959    8.3762983    8.4095629    580.78611
    2200     312.7285       0.0011    2.8707958   0.10224967   -105.39158    2.2232832    8.5198118    8.4099829    590.76639
    2300    316.38853      0.00115  -0.68462845 -0.056205928     -105.415    2.2493035    8.2765575     8.410403    573.92772
    2400    311.07932       0.0012   -1.7128811  -0.63993874   -105.64897    2.2115587    8.4338854     8.410823    584.86664
    2500    278.97526      0.00125    2.3127313   0.35904626   -105.72778    1.9833211    8.5219571    8.4112431    591.00368
    2600    282.66156       0.0013  -0.84242976   -0.3815614   -105.71103    2.0095281    8.2616946    8.4116632    572.98291
    2700    305.76936      0.00135   -1.2255782  -0.23775882   -105.58244    2.1738085    8.4838252    8.4120832    588.41798
    2800    297.88937       0.0014    1.7173839   0.82210562   -104.97492    2.1177873    8.4585954    8.4125033     586.6974
    2900    321.63645      0.00145  -0.51319301  -0.55380516   -105.21423    2.2866125    8.3168881    8.4129233    576.89722
    3000    276.20341       0.0015  -0.87690157  -0.15953698   -105.50058    1.9636151    8.4689526    8.4133434    587.47444
    3100    269.38584      0.00155    1.7524715   0.80678956   -105.61542    1.9151469      8.40471    8.4137635    583.04717
    3200    341.17191       0.0016   -1.6363386  0.082953453   -105.88323    2.4254962    8.3347223    8.4141835    578.22089
    3300    314.72722      0.00165   0.10983744   0.41817974      -105.59    2.2374927    8.4946477    8.4146036    589.34512
    3400    361.20155       0.0017    1.3452112   0.45635109   -105.64281    2.5678931    8.4025584    8.4150236    582.98521
    3500    407.12083      0.00175   -1.1802368 -0.018382473   -105.59525    2.8943474    8.3860197    8.4154437    581.86677
    3600    331.46276       0.0018   0.13916826   0.21735486   -105.51333    2.3564708     8.427332    8.4158637    584.76243
    3700    242.09924      0.00185   0.30456158   0.46636208   -105.41607     1.721158    8.4275022    8.4162838    584.80342
    3800    293.53394       0.0019   0.15249009    0.1123777   -105.76599    2.0868232    8.4031513    8.4167039    583.14276
    3900    298.22573      0.00195  -0.55698762    0.3691897   -105.65069    2.1201785    8.4183407    8.4171239      584.226
    4000    358.19421        0.002    1.0156719   0.23648958   -105.59061     2.546513     8.411787     8.417544    583.80031
    4100    318.82798      0.00205   -1.1299147  -0.22860856   -105.27224    2.2666463    8.3807571     8.417964    581.67578
    4200    331.99551       0.0021   0.23770152   0.27643984   -105.62862    2.3602583    8.4617674    8.4183841    587.32769
    4300    293.15906      0.00215     0.582327    0.6026562   -105.50342     2.084158    8.3879725    8.4188042    582.23467
    4400    302.68587       0.0022  -0.71646783   0.18207015   -105.69687    2.1518871    8.4165277    8.4192242    584.24593
    4500    279.92275      0.00225   0.75950545   0.77619724    -105.7231    1.9900571    8.4281531    8.4196443    585.08211
    4600     332.1606       0.0023  -0.52546615   0.33389867   -105.82361     2.361432    8.3379562    8.4200643    578.84952
    4700    334.70786      0.00235  -0.63231979  0.015175903   -105.31893    2.3795413     8.504559    8.4204844    590.44511
    4800    350.95195       0.0024    1.8386159   0.65455787   -105.42493    2.4950255    8.4437296    8.4209044    586.25116
    4900    311.77199      0.00245   -1.4737485   0.71856404   -105.59629    2.2164831    8.3005874    8.4213245    576.34149
    5000    319.31365       0.0025  -0.26748841   0.65141559   -105.80727    2.2700991    8.4808074    8.4217446    588.88423
    5100    300.13325      0.00255    1.7247417   0.41550618   -105.71639    2.1337397    8.3860707    8.4221646    582.33501
    5200    277.68443       0.0026   -1.6950724  -0.19058938   -105.60966    1.9741441    8.3397286    8.4225847    579.14587
    5300    255.03995      0.00265    0.3150627   0.97529241   -105.52317    1.8131575    8.4779832    8.4230047    588.77621
    5400    348.43437       0.0027    1.2840856   0.59340365   -105.77359    2.4771273     8.342744    8.4234248    579.41306
    5500      285.128      0.00275   -2.2628421 -0.019719535   -105.16646    2.0270628    8.3951081    8.4238448    583.07888
    5600    365.10269       0.0028    1.8195314   0.59320041   -105.44772    2.5956275    8.4633688    8.4242649    587.84921
    5700    318.53257      0.00285  -0.37586732  0.074560838   -105.58779    2.2645461    8.3260243     8.424685    578.33837
    5800    254.56255       0.0029   -0.5578546     0.268461   -105.57021    1.8097636    8.3813549     8.425105    582.21074
    5900    265.86119      0.00295   0.79054358    0.1747122   -105.54083    1.8900891    8.3905868    8.4255251     582.8811
    6000    328.73874        0.003  -0.73761489    0.3934513   -105.67214    2.3371049     8.346621    8.4259451    579.85576
    6100     312.7834      0.00305 0.0090823866   0.63155677   -105.49575    2.2236735    8.4519259    8.4263652    587.20077
    6200     305.5941       0.0031   0.88922052   0.68472132   -105.21844    2.1725626    8.3601185    8.4267853    580.85138
    6300    380.61237      0.00315   -1.1479841  -0.43180245   -105.76287    2.7058905    8.4127363    8.4272053    584.53633
    6400     304.2414       0.0032   0.89097371   0.96612008   -105.75321    2.1629458    8.4526972    8.4276254    587.34218
    6500    283.37228      0.00325   0.29103004   0.71330424   -105.71085    2.0145808    8.2899506    8.4280454    576.06232
    6600    309.18413       0.0033   -1.7287949   0.53485429   -105.66447    2.1980852    8.4098166    8.4284655    584.42084
    6700    318.96615      0.00335    1.9676453   0.53756667   -105.42706    2.2676286     8.451607    8.4288855    587.35424
    6800    302.98601       0.0034  -0.84967738   0.67211695   -105.12422    2.1540209    8.3318313    8.4293056    579.05915
    6900    316.49602      0.00345  -0.45274051   0.34539694   -105.26988    2.2500677    8.4210557    8.4297257    585.28938
    7000    321.81442       0.0035   0.96352518    0.9036227    -105.7276    2.2878778    8.4021582    8.4301457    584.00504
    7100    301.13787      0.00355  -0.56779758   0.21093351   -105.90824    2.1408819    8.3315784    8.4305658    579.12814
    7200    283.28407       0.0036  -0.20900532   0.91534604    -105.8054    2.0139537    8.4115615    8.4309858    584.71689
    7300    289.58783      0.00365   0.63709194   0.57441417   -105.45116    2.0587691    8.3778027    8.4314059    582.39922
    7400    281.23721       0.0037    -0.847317   0.53854101   -104.83926     1.999402    8.3840083     8.431826    582.85965
    7500    333.22789      0.00375    0.5653816   0.95513965   -105.13142    2.3690197     8.418791     8.432246    585.30692
